,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,feature,cluster,group.1,significant
UBE2S_CD8 T-Cell,0.209221658081559,0.0850563491251543,0.232,0.27,1,UBE2S,CD8 T-Cell,Cl_1_3,FALSE
LSM14A_CD8 T-Cell,0.209418976800645,0.107441036218379,0.583,0.617,1,LSM14A,CD8 T-Cell,Cl_1_3,FALSE
TMEM248_CD8 T-Cell,0.210507184338423,0.0727202752603245,0.296,0.345,1,TMEM248,CD8 T-Cell,Cl_1_3,FALSE
SMARCA5_CD8 T-Cell,0.212562711262364,0.0691772264790056,0.275,0.324,1,SMARCA5,CD8 T-Cell,Cl_1_3,FALSE
UBALD2_CD8 T-Cell,0.212597958280386,0.0217570268322478,0.658,0.745,1,UBALD2,CD8 T-Cell,Cl_1_3,FALSE
TNFSF10_CD8 T-Cell,0.212672213753794,0.407562364675649,0.251,0.25,1,TNFSF10,CD8 T-Cell,Cl_1_3,FALSE
ACAP1_CD8 T-Cell,0.212928849125446,-0.00428199299328225,0.64,0.724,1,ACAP1,CD8 T-Cell,Cl_1_3,FALSE
ANKRD17_CD8 T-Cell,0.213237432548946,0.236784979874037,0.36,0.37,1,ANKRD17,CD8 T-Cell,Cl_1_3,FALSE
SAP30BP_CD8 T-Cell,0.213933933822778,0.0455232269720208,0.271,0.315,1,SAP30BP,CD8 T-Cell,Cl_1_3,FALSE
CBFB_CD8 T-Cell,0.214336016897377,0.338122156734354,0.258,0.257,1,CBFB,CD8 T-Cell,Cl_1_3,FALSE
ZNF92_CD8 T-Cell,0.214535162870386,0.0796577804521921,0.237,0.273,1,ZNF92,CD8 T-Cell,Cl_1_3,FALSE
H2AFV_CD8 T-Cell,0.21553424430301,-0.115559688864741,0.547,0.595,1,H2AFV,CD8 T-Cell,Cl_1_3,FALSE
MIER1_CD8 T-Cell,0.215586500472388,0.0200704300444377,0.362,0.42,1,MIER1,CD8 T-Cell,Cl_1_3,FALSE
IL2RB_CD8 T-Cell,0.216273508102329,0.313421298347585,0.302,0.304,1,IL2RB,CD8 T-Cell,Cl_1_3,FALSE
DHRS7_CD8 T-Cell,0.218743487132232,0.0292324065442296,0.407,0.469,1,DHRS7,CD8 T-Cell,Cl_1_3,FALSE
PIAS1_CD8 T-Cell,0.220281110159082,0.0241950693100004,0.43,0.501,1,PIAS1,CD8 T-Cell,Cl_1_3,FALSE
DNAJB6_CD8 T-Cell,0.220554872228606,-0.0130868488865851,0.33,0.379,1,DNAJB6,CD8 T-Cell,Cl_1_3,FALSE
SPPL2A_CD8 T-Cell,0.220848049230258,0.392160000991387,0.273,0.279,1,SPPL2A,CD8 T-Cell,Cl_1_3,FALSE
YARS_CD8 T-Cell,0.221353656003694,0.13031456215082,0.285,0.336,1,YARS,CD8 T-Cell,Cl_1_3,FALSE
LONP2_CD8 T-Cell,0.221579084110848,0.0947476952222446,0.217,0.253,1,LONP2,CD8 T-Cell,Cl_1_3,FALSE
NUTF2_CD8 T-Cell,0.224722882716166,0.00990141200671207,0.393,0.456,1,NUTF2,CD8 T-Cell,Cl_1_3,FALSE
USP9Y_CD8 T-Cell,0.225709789168801,0.334393854018739,0.319,0.331,1,USP9Y,CD8 T-Cell,Cl_1_3,FALSE
SH3GLB1_CD8 T-Cell,0.226218016561329,0.104920695118732,0.312,0.367,1,SH3GLB1,CD8 T-Cell,Cl_1_3,FALSE
NUDT22_CD8 T-Cell,0.226920907458108,0.11842983003658,0.253,0.296,1,NUDT22,CD8 T-Cell,Cl_1_3,FALSE
IK_CD8 T-Cell,0.227286579469292,0.0616472325077694,0.496,0.571,1,IK,CD8 T-Cell,Cl_1_3,FALSE
HNRNPF_CD8 T-Cell,0.2278507132692,-0.0340511877766341,0.557,0.618,1,HNRNPF,CD8 T-Cell,Cl_1_3,FALSE
TOMM7_CD8 T-Cell,0.228205853494094,-0.0335025101168935,0.884,0.934,1,TOMM7,CD8 T-Cell,Cl_1_3,FALSE
ATOX1_CD8 T-Cell,0.228479427389604,0.128929101740527,0.246,0.288,1,ATOX1,CD8 T-Cell,Cl_1_3,FALSE
BUB3_CD8 T-Cell,0.230074266478758,-0.0255693637437343,0.499,0.567,1,BUB3,CD8 T-Cell,Cl_1_3,FALSE
